Timestamp,EURUSD,GBPUSD,JPYUSD
2009-02-05 00:00:00,0.777937687191256,0.6918739405680285,89.45
2009-02-05 01:00:00,0.7805487257542052,0.6931207762952695,89.39
2009-02-05 02:00:00,0.779058896852602,0.6924728204417977,89.35
2009-02-05 03:00:00,0.7797878976918279,0.6939143709666227,89.305
2009-02-05 04:00:00,0.7791803023219572,0.6931688212664194,89.36
2009-02-05 05:00:00,0.7790285513964087,0.6923289947382997,89.37
2009-02-05 06:00:00,0.7785433454007551,0.6920894179527994,89.27
2009-02-05 07:00:00,0.7786645902277595,0.6922091856158932,89.375
2009-02-05 08:00:00,0.7785130400934216,0.6941552131056504,89.475
2009-02-05 09:00:00,0.779423226812159,0.6927366561601607,89.605
2009-02-05 10:00:00,0.7773933999300345,0.6907269901571403,89.77
2009-02-05 11:00:00,0.7771517388770157,0.6882075634011218,89.74
2009-02-05 12:00:00,0.777363184079602,0.6894887440962526,89.815
2009-02-05 13:00:00,0.779058896852602,0.6844158510711108,89.68
2009-02-05 14:00:00,0.7813110399249941,0.6855889208830386,89.815
2009-02-05 15:00:00,0.7818608287724785,0.683480281593876,89.83
2009-02-05 16:00:00,0.7789071932079293,0.6836204539239814,90.25
2009-02-05 17:00:00,0.7790285513964087,0.6835970878764056,91.01
2009-02-05 18:00:00,0.7768800497203232,0.6828035915468915,91.65
2009-02-05 19:00:00,0.7797270955165693,0.6836905616517964,91.42
2009-02-05 20:00:00,0.7814942169427945,0.6832467887400929,91.44
2009-02-05 21:00:00,0.7814636814754035,0.683433570256971,91.235
2009-02-05 22:00:00,0.781799702916113,0.6844626967830253,91.22
2009-02-05 23:00:00,0.7821360134527394,0.6837840609935383,91.11
2009-02-06 00:00:00,0.7819525354810962,0.6837139340899768,91.17
2009-02-06 01:00:00,0.7819525354810962,0.6841817186644773,90.895
2009-02-06 02:00:00,0.7815858376646215,0.6838916168565605,91.02
2009-02-06 03:00:00,0.7835148476063621,0.6851661527920521,90.92
2009-02-06 04:00:00,0.7822277847309137,0.6843924306197173,90.885
2009-02-06 05:00:00,0.782197191912081,0.684814244136278,90.855
2009-02-06 06:00:00,0.7815858376646215,0.6836438215689625,90.925
2009-02-06 07:00:00,0.7830853563038371,0.6837840609935383,90.825
2009-02-06 08:00:00,0.7833614037836355,0.678886625933469,90.95
2009-02-06 09:00:00,0.7816163826793809,0.679671039217019,91.355
2009-02-06 10:00:00,0.7794839816041781,0.6811293123999591,91.425
2009-02-06 11:00:00,0.7818302646495445,0.6822911336267186,91.1
